author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Барно Турсунова;realtor;https://www.cian.ru/rent/flat/308167718/;Москва;rent;flat;7;17;2;50.9;90000;0;Останкинский;Березовая аллея;19к6;Ботанический сад
Contact Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309518193/;Москва;rent;flat;3;21;2;60.0;300000;0;Пресненский; Костикова;4к2;Улица 1905 года
Евгений Сульдин;realtor;https://www.cian.ru/rent/flat/309600284/;Москва;rent;flat;4;9;1;35.0;55000;0;Перово; Плеханова;3К1;Шоссе Энтузиастов
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309448141/;Москва;rent;flat;11;24;2;53.0;134990;0;Даниловский;Автозаводская ;23Бк2;ЗИЛ
capital city;real_estate_agent;https://www.cian.ru/rent/flat/308166478/;Москва;rent;flat;5;9;1;46.8;100000;0;Алексеевский;проспект Мира;102С30;Алексеевская
MDco;real_estate_agent;https://www.cian.ru/rent/flat/309615408/;Москва;rent;flat;4;5;1;34.0;48000;0;Хорошево-Мневники; Маршала Тухачевского;47;Народное Ополчение
Liberty Estate;real_estate_agent;https://www.cian.ru/rent/flat/307424362/;Москва;rent;flat;5;20;2;40.0;110000;0;Левобережный;Ленинградское шоссе;69к3;Беломорская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/308438955/;Москва;rent;flat;7;9;2;63.0;120000;0;Нагатинский затон; Корабельная;17к1;Нагатинский Затон
ID 66999358;realtor;https://www.cian.ru/rent/flat/309284436/;Москва;rent;flat;15;25;1;42.0;70000;0;Очаково-Матвеевское; Малая Очаковская;6;Озёрная
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309286462/;Москва;rent;flat;6;9;2;66.0;120000;0;Донской;Ленинский проспект;30;Ленинский проспект
Liberty Estate;real_estate_agent;https://www.cian.ru/rent/flat/308891765/;Москва;rent;flat;1;9;2;50.0;110000;0;Даниловский;Хавская ;24;Шаболовская
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/309491203/;Москва;rent;flat;10;27;2;75.0;150000;0;Фили-Давыдково; Герасима Курина;26;Славянский бульвар
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/308011242/;Москва;rent;flat;2;16;2;51.0;200000;0;Раменки;Воробьевское шоссе;4С1;Поклонная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309190451/;Москва;rent;flat;2;8;2;55.0;250000;0;Якиманка;Софийская набережная;34;Новокузнецкая
Золотое Руно;real_estate_agent;https://www.cian.ru/rent/flat/309466242/;Москва;rent;flat;2;3;2;35.0;40000;0;;;88;Бунинская аллея
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/293041539/;Москва;rent;flat;7;16;2;200.0;450000;0;Арбат; Новый Арбат;27;Смоленская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/307555148/;Москва;rent;flat;4;12;2;70.0;220000;0;Тверской;Тверская ;15;Пушкинская
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/309564806/;Москва;rent;flat;1;5;2;45.0;49000;0;Царицыно;Севанская ;52К1;Царицыно
Елизавета Трушина;realtor;https://www.cian.ru/rent/flat/309568691/;Москва;rent;flat;6;15;1;33.0;90000;0;Хорошевский;Ходынский бульвар;2;ЦСКА
ID 39302013;homeowner;https://www.cian.ru/rent/flat/309622708/;Москва;rent;flat;4;6;2;70.5;130000;0;Замоскворечье;Большая Серпуховская ;31К3;Серпуховская
Медведица;real_estate_agent;https://www.cian.ru/rent/flat/309572872/;Москва;rent;flat;28;39;1;25.0;55000;0;Гольяново;Амурская ;1Ак5;Черкизовская
ID 102590996;homeowner;https://www.cian.ru/rent/flat/308916200/;Москва;rent;flat;9;15;1;33.0;65000;0;; Василия Ощепкова;1;Новомосковская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/308893773/;Москва;rent;flat;5;7;2;122.0;1000000;0;Хамовники;Пречистенская набережная;17-19;Кропоткинская
